model_name,method,train_env,test_env,config,params,nmse_mean,nmse_std,n_seeds,nmse_values
Adapter_InF_dim16,Adapter,InF,InF,dim16,131072,-19.3015,0.2033,5,"[-19.218421936035156, -19.642847061157227, -19.114286422729492, -19.21918487548828, -19.312847137451172]"
Adapter_InF_dim16,Adapter,InF,InH,dim16,131072,-19.1781,0.1934,5,"[-19.177528381347656, -19.489463806152344, -18.985336303710938, -19.053743362426758, -19.184288024902344]"
Adapter_InF_dim16,Adapter,InF,UMi,dim16,131072,-18.5442,1.0348,5,"[-19.32776641845703, -19.325756072998047, -19.241634368896484, -17.333415985107422, -17.49236297607422]"
Adapter_InF_dim16,Adapter,InF,UMa,dim16,131072,-13.9310,4.0999,5,"[-15.470108985900879, -16.865161895751953, -7.775997638702393, -11.859748840332031, -17.68399429321289]"
Adapter_InF_dim16,Adapter,InF,RMa,dim16,131072,-14.9665,3.7567,5,"[-15.618429183959961, -17.77748680114746, -8.916037559509277, -14.239307403564453, -18.28119659423828]"
Adapter_InF_dim32,Adapter,InF,InF,dim32,262144,-18.6467,0.1902,5,"[-18.56829261779785, -18.976659774780273, -18.489187240600586, -18.583829879760742, -18.615528106689453]"
Adapter_InF_dim32,Adapter,InF,InH,dim32,262144,-18.5524,0.1934,5,"[-18.52876091003418, -18.851215362548828, -18.338302612304688, -18.44414520263672, -18.599411010742188]"
Adapter_InF_dim32,Adapter,InF,UMi,dim32,262144,-18.0157,0.9302,5,"[-18.64156723022461, -18.751771926879883, -18.687206268310547, -16.930011749267578, -17.067981719970703]"
Adapter_InF_dim32,Adapter,InF,UMa,dim32,262144,-13.0027,4.2438,5,"[-14.392037391662598, -15.984410285949707, -6.701959609985352, -10.832510948181152, -17.102458953857422]"
Adapter_InF_dim32,Adapter,InF,RMa,dim32,262144,-13.7648,4.0414,5,"[-14.507613182067871, -16.780588150024414, -7.419309139251709, -12.601055145263672, -17.51531410217285]"
Adapter_InF_dim64,Adapter,InF,InF,dim64,524288,-17.7296,0.1800,5,"[-17.642704010009766, -18.037254333496094, -17.57000732421875, -17.69142723083496, -17.706584930419922]"
