scenario,method,config,params,nmse_db
InH,Adapter,dim16,131072,-19.1632
InH,Adapter,dim32,262144,-18.5168
InH,Adapter,dim64,524288,-17.7507
InH,Adapter,dim8,65536,-19.5720
InH,LoRA,r16,78640,-18.5882
InH,LoRA,r20,98304,-18.5112
InH,LoRA,r4,19660,-19.1221
InH,LoRA,r8,39320,-18.9246
InH,Prompt,len100,12800,-18.9613
InH,Prompt,len200,25600,-18.9396
InH,Prompt,len50,6400,-18.9619
InH,Hybrid,p100_r10,61952,-18.8252
InH,Hybrid,p200_r20,123904,-18.4214
InH,Hybrid,p50_r5,30230,-19.0558
InH,Base_v3,base,0,-19.8481
InF,Adapter,dim16,131072,-19.0100
InF,Adapter,dim32,262144,-18.3501
InF,Adapter,dim64,524288,-17.4500
InF,Adapter,dim8,65536,-19.4321
InF,LoRA,r16,78640,-18.2376
InF,LoRA,r20,98304,-18.2436
InF,LoRA,r4,19660,-18.9133
InF,LoRA,r8,39320,-18.6307
InF,Prompt,len100,12800,-18.9772
InF,Prompt,len200,25600,-18.9864
InF,Prompt,len50,6400,-18.9868
InF,Hybrid,p100_r10,61952,-18.5130
InF,Hybrid,p200_r20,123904,-18.2102
InF,Hybrid,p50_r5,30230,-18.8487
InF,Base_v3,base,0,-19.9263
UMi,Adapter,dim16,131072,-19.4835
UMi,Adapter,dim32,262144,-19.3236
UMi,Adapter,dim64,524288,-19.0485
UMi,Adapter,dim8,65536,-19.6626
UMi,LoRA,r16,78640,-18.7684
UMi,LoRA,r20,98304,-18.6765
UMi,LoRA,r4,19660,-18.9954
UMi,LoRA,r8,39320,-18.8484
UMi,Prompt,len100,12800,-18.8555
UMi,Prompt,len200,25600,-18.8438
UMi,Prompt,len50,6400,-18.8437
UMi,Hybrid,p100_r10,61952,-18.8432
UMi,Hybrid,p200_r20,123904,-18.7300
UMi,Hybrid,p50_r5,30230,-18.8901
UMi,Base_v3,base,0,-19.4681
UMa,Adapter,dim16,131072,-12.0422
UMa,Adapter,dim32,262144,-12.1201
UMa,Adapter,dim64,524288,-12.1614
UMa,Adapter,dim8,65536,-12.0593
UMa,LoRA,r16,78640,-12.0601
UMa,LoRA,r20,98304,-12.0386
UMa,LoRA,r4,19660,-12.0529
UMa,LoRA,r8,39320,-12.0472
UMa,Prompt,len100,12800,-12.2070
UMa,Prompt,len200,25600,-12.2345
UMa,Prompt,len50,6400,-12.1107
UMa,Hybrid,p100_r10,61952,-12.0521
UMa,Hybrid,p200_r20,123904,-12.0707
UMa,Hybrid,p50_r5,30230,-12.0584
UMa,Base_v3,base,0,-11.9842
RMa,Adapter,dim16,131072,-15.8376
RMa,Adapter,dim32,262144,-15.7082
RMa,Adapter,dim64,524288,-15.7455
RMa,Adapter,dim8,65536,-15.6320
RMa,LoRA,r16,78640,-16.0088
RMa,LoRA,r20,98304,-15.9942
RMa,LoRA,r4,19660,-15.9388
RMa,LoRA,r8,39320,-15.9119
RMa,Prompt,len100,12800,-15.2418
RMa,Prompt,len200,25600,-15.3119
RMa,Prompt,len50,6400,-15.2196
RMa,Hybrid,p100_r10,61952,-15.9966
RMa,Hybrid,p200_r20,123904,-16.0424
RMa,Hybrid,p50_r5,30230,-15.9254
RMa,Base_v3,base,0,-15.1186
